  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  205   136.6299    .211937   6.45126   -.00906   7.50603   4.22479  20.32048   2.44678
  206   136.7087    .212059   6.41207   -.02888   7.53311   4.21453  20.32049   2.44675
  207   136.8219    .212235   6.36961   -.04866   7.56010   4.20431  20.32049   2.44672
  208   136.8825    .212329   6.32441   -.06840   7.58696   4.19412  20.32050   2.44669
  209   136.9759    .212474   6.27692   -.08812   7.61369   4.18396  20.32051   2.44667
  210   137.1102    .212682   6.22780   -.10781   7.64027   4.17383  20.32052   2.44664
  211   137.1969    .212816   6.17758   -.12748   7.66669   4.16372  20.32053   2.44661
  212   137.2829    .212950   6.12674   -.14715   7.69294   4.15362  20.32054   2.44658
  213   137.4082    .213144   6.07594   -.16682   7.71900   4.14352  20.32055   2.44656
  214   137.5881    .213423   6.02577   -.18650   7.74487   4.13340  20.32056   2.44653
  215   137.7030    .213601   5.97696   -.20619   7.77052   4.12327  20.32057   2.44650
  216   137.8581    .213842   5.93007   -.22592   7.79596   4.11310  20.32057   2.44648
  217   138.0839    .214192   5.88561   -.24568   7.82118   4.10288  20.32058   2.44645
  218   138.2491    .214449   5.84426   -.26550   7.84616   4.09260  20.32059   2.44642
  219   138.4472    .214756   5.80663   -.28538   7.87091   4.08224  20.32060   2.44640
  220   138.6936    .215138   5.77319   -.30533   7.89542   4.07178  20.32061   2.44637
  221   138.9301    .215505   5.74434   -.32537   7.91969   4.06122  20.32062   2.44635
  222   139.1994    .215923   5.72050   -.34551   7.94372   4.05053  20.32063   2.44632
  223   139.4874    .216369   5.70194   -.36575   7.96752   4.03971  20.32065   2.44630
  224   139.7461    .216771   5.68886   -.38611   7.99108   4.02874  20.32066   2.44627
  225   140.0429    .217231   5.68132   -.40660   8.01442   4.01761  20.32067   2.44625
  226   140.3600    .217723   5.67926   -.42722   8.03754   4.00632  20.32068   2.44623
  227   140.6848    .218227   5.68251   -.44798   8.06045   3.99486  20.32069   2.44620
  228   141.0111    .218733   5.69079   -.46888   8.08317   3.98322  20.32070   2.44618
  229   141.3291    .219226   5.70370   -.48994   8.10570   3.97140  20.32072   2.44616
  230   141.6621    .219743   5.72076   -.51114   8.12805   3.95940  20.32073   2.44614
  231   141.9811    .220237   5.74141   -.53250   8.15025   3.94722  20.32074   2.44612
  232   142.2827    .220705   5.76498   -.55400   8.17230   3.93487  20.32076   2.44610
  233   142.6157    .221222   5.79075   -.57565   8.19421   3.92234  20.32077   2.44608
  234   142.9297    .221709   5.81799   -.59745   8.21601   3.90964  20.32078   2.44606
  235   143.1825    .222101   5.84592   -.61937   8.23770   3.89679  20.32080   2.44604
  236   143.4606    .222532   5.87373   -.64143   8.25929   3.88378  20.32081   2.44602
  237   143.7244    .222942   5.90068   -.66360   8.28080   3.87064  20.32083   2.44600
  238   143.9769    .223333   5.92592   -.68588   8.30224   3.85736  20.32084   2.44598
  239   144.1879    .223661   5.94862   -.70825   8.32361   3.84396  20.32086   2.44596
  240   144.3493    .223911   5.96800   -.73070   8.34493   3.83044  20.32088   2.44595
  241   144.5318    .224194   5.98328   -.75321   8.36619   3.81683  20.32089   2.44593
  242   144.6801    .224424   5.99352   -.77577   8.38740   3.80313  20.32091   2.44591
  243   144.8140    .224632   5.99784   -.79835   8.40858   3.78935  20.32093   2.44590
  244   144.9031    .224770   5.99532   -.82094   8.42971   3.77550  20.32094   2.44588
  245   144.9539    .224849   5.98491   -.84350   8.45080   3.76160  20.32096   2.44587
  246   144.9899    .224905   5.96550   -.86602   8.47184   3.74765  20.32098   2.44585
  247   144.9871    .224900   5.93585   -.88845   8.49284   3.73367  20.32100   2.44584
  248   144.9414    .224830   5.89468   -.91076   8.51380   3.71967  20.32101   2.44583
  249   144.8535    .224693   5.84056   -.93292   8.53469   3.70565  20.32103   2.44581
  250   144.7441    .224523   5.77202   -.95487   8.55552   3.69163  20.32105   2.44580
